娛樂綜藝,#genre#
tvbs歡樂,https://stream1.freetv.fun/bddb60f3ed16f8742e1193ec7ec4e1f3ff85d6d04dfc8a55a49174401788ca5b.m3u8
TVBS歡樂臺HD,https://stream1.freetv.fun/tvbshuan-le-2.m3u8
TVN(TW),https://stream1.freetv.fun/tvn-6.m3u8
TVN(TW),https://stream1.freetv.fun/tvn-7.m3u8
tvn,https://stream1.freetv.fun/783b753c8ea521aa47a847b292ea48cb0933e223adb64f5cf1f9799fea5a9062.m3u8
tvn,https://stream1.freetv.fun/f2309922c3fb9ae16d9469bf93816f6b4b111cd8f111c8ad25e03e379882b66e.m3u8
人間衛視,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
人間衛視,https://stream1.freetv.fun/05b9099bef592e55129817a0f82b4cc60378970bc856b993ae9e330e85f4351f.m3u8
人間衛視,https://stream1.freetv.fun/359c17d38f7a404a9889ca3e45a4a21ef0e99a3a9d54214e3091fabb88fc9b27.m3u8
人間衛視,https://stream1.freetv.fun/4eb0323c70d760304396dda96d4193e878c24f1080b403142386e13bd15bb06c.m3u8
人間衛視,https://stream1.freetv.fun/740a7516fed5e5ba1a9b227a9bba81a894dba259cfc25ca035f1d104bd389bb3.m3u8
人間衛視,https://stream1.freetv.fun/925df6e71c4dd75f935dbe02200a19e3893eea0a125da4d28447546e7a8bd092.m3u8
人間衛視,https://stream1.freetv.fun/ab7bcf5a18958aaf322e01631bd9d031db56960aeabbb526a8781fbe1c1f1ba3.m3u8
人間衛視,https://stream1.freetv.fun/ren-jian-wei-shi-11.m3u8
人間衛視,https://stream1.freetv.fun/ren-jian-wei-shi-4.m3u8
人間衛視,https://stream1.freetv.fun/ren-jian-wei-shi-5.m3u8
人間衛視,https://stream1.freetv.fun/ren-jian-wei-shi-6.m3u8
人間衛視,https://stream1.freetv.fun/ren-jian-wei-shi-7.m3u8
人間衛視,https://stream1.freetv.fun/ren-jian-wei-shi-8.m3u8
人間衛視,https://stream1.freetv.fun/ren-jian-wei-shi-9.m3u8
八大第1臺HD,https://stream1.freetv.fun/ba-da-di-yi-1.m3u8
八大第1臺HD,https://stream1.freetv.fun/ba-da-di-yi-2.m3u8
八大精彩,https://stream1.freetv.fun/b79af9cc2f9278994e01c40a671834790dadb4249130ed11a1c29c60b000548e.m3u8
八大精彩,https://stream1.freetv.fun/ba-da-jing-cai-2.m3u8
八大綜合,https://stream1.freetv.fun/0f49846d96cdc3713a2927b6371a8b8b03ac41098a10253f572bd18f59d4e085.m3u8
八大綜合,https://stream1.freetv.fun/ba-da-zong-he-1.m3u8
八大綜合,https://stream1.freetv.fun/ba-da-zong-he-2.m3u8
八大綜合,https://stream1.freetv.fun/ba-da-zong-he-3.m3u8
八大綜合,https://stream1.freetv.fun/ba-da-zong-he-5.m3u8
八大綜合,https://stream1.freetv.fun/e7df67a1a8400d4741889391ccc7e8a2b3f623a4f19544ae0863ae2c184bbe2c.m3u8
八大綜藝,https://stream1.freetv.fun/ba-da-zong-yi-3.m3u8
三立都會,https://stream1.freetv.fun/san-li-du-hui-3.m3u8
三立臺灣,https://stream1.freetv.fun/san-li-tai-wan-2.m3u8
千禧經典台,http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8
大立電視台,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
大愛,https://stream1.freetv.fun/814df2706318d264b6da39c678fe68ce1039e2850b4e71ef4565fcd95c7678ca.m3u8
大愛,https://stream1.freetv.fun/8dab0126668b960d4130c12b25e9278ffda43f5b66fa986287ed34cd97cbd721.m3u8
大愛,https://stream1.freetv.fun/da-ai-1-1.m3u8
大愛,https://stream1.freetv.fun/da-ai-1-3.m3u8
大愛,https://stream1.freetv.fun/da-ai-2.m3u8
大愛,https://stream1.freetv.fun/da-ai-3.m3u8
大愛1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛1台,https://stream1.freetv.fun/cda9c15049fc9a62b363d1018881fe11828f20acfccb0ba7927604e967e003e7.m3u8
大愛2,https://stream1.freetv.fun/2b383d639b6b2eade22f2d085141a38ae48a98f24b8a06f485e23f7211bbf909.m3u8
大愛2,https://stream1.freetv.fun/5fccf4a4972d39810ed6ac299db54c1cd33cf614dc04364ed982a90592ebff1f.m3u8
大愛2,https://stream1.freetv.fun/adefa4b3b335e22e458ee3232eb44832e815acd82cf7ad1c489d2d11274c700b.m3u8
大愛2,https://stream1.freetv.fun/da-ai-2-1.m3u8
大愛2,https://stream1.freetv.fun/da-ai-2-10.m3u8
大愛2,https://stream1.freetv.fun/da-ai-2-11.m3u8
大愛2,https://stream1.freetv.fun/da-ai-2-2.m3u8
大愛2,https://stream1.freetv.fun/da-ai-2-3.m3u8
大愛2,https://stream1.freetv.fun/da-ai-2-4.m3u8
大愛2,https://stream1.freetv.fun/da-ai-2-5.m3u8
大愛2,https://stream1.freetv.fun/da-ai-2-6.m3u8
大愛2,https://stream1.freetv.fun/da-ai-2-7.m3u8
大愛2,https://stream1.freetv.fun/da-ai-2-8.m3u8
大愛2,https://stream1.freetv.fun/da-ai-2-9.m3u8
大愛2,https://stream1.freetv.fun/e5e56769f790cbed52fe070b339646dd3f972f1e7b3df94fcab08998c73b8320.m3u8
大愛2,https://stream1.freetv.fun/fccdee5659dfd45d93efddb44de44613ea55be5d22329aa3454de0d523af87ef.m3u8
大愛2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大愛2台,https://stream1.freetv.fun/299421e6237fa17b9f9f88b6a1e3f9b68f5b9dd4fbad95c46e30dc312973287f.m3u8
大愛2台,https://stream1.freetv.fun/46d6e1528b3b9ecb1c8c27e2c91c8d685b41cc836170600f2fe032160e0d1ee5.m3u8
大愛2台,https://stream1.freetv.fun/60efaf070c91949a4c4e52c9d35746ebfb99b5318b43115c15205965c5807948.m3u8
大愛2台,https://stream1.freetv.fun/91fcb31d8ac6e06e31cb425960e0922fbd55e998981a15d01f176251c6e627ad.m3u8
大愛TV1,https://pulltv2.wanfudaluye.com/live/tv1.m3u8
大愛TV2,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
中天亞洲,https://stream1.freetv.fun/zhong-tian-ya-zhou-12.m3u8
中天亞洲,https://stream1.freetv.fun/zhong-tian-ya-zhou-15.m3u8
中天亞洲,https://stream1.freetv.fun/zhong-tian-ya-zhou-2.m3u8
中天亞洲,https://stream1.freetv.fun/zhong-tian-ya-zhou-6.m3u8
中天亞洲,https://stream1.freetv.fun/zhong-tian-ya-zhou-7.m3u8
中天亞洲,https://stream1.freetv.fun/zhong-tian-ya-zhou-9.m3u8
中天亞洲FHD,https://stream1.freetv.fun/zhong-tian-ya-zhou-3.m3u8
中天亞洲台,https://stream1.freetv.fun/416741179c1a825d8f438697edf5197ab619b88c4f65038ca8e630dc6c768959.m3u8
中天亞洲台,https://stream1.freetv.fun/595d663099520d7703e34c1368c14ee25195be4a8d28b1579af413add6cb9a2e.m3u8
中天亞洲台,https://stream1.freetv.fun/7467edd0d5365ef907f71314345c62b7546ac313e029c2ff69772107297696b1.m3u8
中天亞洲台,https://stream1.freetv.fun/d84cb6763e9f78a08e990c95d3e7679dff7ca587707ec57569d7e63d351b7e36.m3u8
中天亞洲台,https://stream1.freetv.fun/e4b1ffcba466a259b7313a879ee7d1dff3d3e33fe4485d11fbda4ec6b1dfbf53.m3u8
中天亞洲台,https://stream1.freetv.fun/e68fe887876809fe3cac636c1a9d186b422eb60a9361ea184fe06047ddf13668.m3u8
中天娛樂,https://stream1.freetv.fun/08ca6c16595aafae7799132dfa8db8bad88e08a635ad3367ace67e6b5576e116.m3u8
中天娛樂HD,https://stream1.freetv.fun/zhong-tian-yu-le-5.m3u8
中天綜合HD,https://stream1.freetv.fun/zhong-tian-zong-he-1.m3u8
中視,http://37.27.111.214:8080/live/7/hls.m3u8
中視,https://stream1.freetv.fun/850967cb490cf3c98e20a19b56de0e5a029710949cff71a4132bf059dcf656bc.m3u8
中視,https://stream1.freetv.fun/zhong-shi-3.m3u8
中視,https://stream1.freetv.fun/zhong-shi-4.m3u8
中視,https://stream1.freetv.fun/zhong-shi-7.m3u8
中視,rtmp://f13h.mine.nu/sat/tv091
中視,rtmp://f13h.mine.nu:1935/sat/tv091
中視菁采臺,https://stream1.freetv.fun/zhong-shi-jing-cai-4.m3u8
公視,https://stream1.freetv.fun/239812bc8d7b08228295a2ca4eaa9f8773527dc9478db41e8272bbfea77230b7.m3u8
公視,https://stream1.freetv.fun/gong-shi-1.m3u8
公視,https://stream1.freetv.fun/gong-shi-3.m3u8
公視,https://stream1.freetv.fun/gong-shi-4.m3u8
公視二臺,https://stream1.freetv.fun/ptsxsxiao-gong-shi-1080-1.m3u8
公視二臺,https://stream1.freetv.fun/ptsxsxiao-gong-shi-360-1.m3u8
公視二臺,https://stream1.freetv.fun/ptsxsxiao-gong-shi-720-1.m3u8
世新綜合台,http://61.58.60.230:9319/live/49.m3u8
台視,rtmp://f13h.mine.nu/sat/tv071
台視,rtmp://f13h.mine.nu:1935/sat/tv071
民視,https://stream1.freetv.fun/720e88c5916645734a5ed560a15e475c11c32dd6659b37aceb035720ee6f40ea.m3u8
民視,https://stream1.freetv.fun/min-shi-3.m3u8
民視,https://stream1.freetv.fun/min-shi-8.m3u8
民視,rtmp://f13h.mine.nu/sat/tv051
民視,rtmp://f13h.mine.nu:1935/sat/tv051
民視旅遊臺,https://stream1.freetv.fun/min-shi-lu-you-2.m3u8
民視綜藝臺,https://stream1.freetv.fun/min-shi-zong-yi-2.m3u8
民視臺灣台,https://stream1.freetv.fun/min-shi-tai-wan-1.m3u8
民視臺灣台,https://stream1.freetv.fun/min-shi-tai-wan-2.m3u8
民視臺灣臺,https://stream1.freetv.fun/min-shi-tai-wan-7.m3u8
生命電視,https://stream1.freetv.fun/sheng-ming-dian-shi-2.m3u8
生命電視,https://stream1.freetv.fun/sheng-ming-dian-shi-3.m3u8
生命電視台,http://211.73.19.201/live/AB167E56-808C-81D4-6471-76DC400D5192.m3u8?fmt=x264_1200K_ts&cpid=admin&size=1920X1080
生命電視台,https://stream1.freetv.fun/1f8ae2cd70bd10ff4b1c7e7ce2db6d534f0b00caca678a8a513cadd462c30528.m3u8
生命電視台,https://stream1.freetv.fun/b399ca0e9a6cda833d86d80ddd3423a9246b120ce63e0ce8c86fb2296f97b058.m3u8
生命電視臺,https://stream1.freetv.fun/3f1da41967f70b7fc0c80cce65f2a8c6d9c74b85eb97d39b0f3745b36b69a875.m3u8
生命電視臺,https://stream1.freetv.fun/sheng-ming-dian-shi-1.m3u8
好消息,https://stream1.freetv.fun/797529276770285bb5212acd5798702e0db85532c78121a94f600759dec5dabf.m3u8
好消息,https://stream1.freetv.fun/7e863d41fbb20975775323c59644b5d46c3a28b9c2f01e4b574a14761e01641e.m3u8
好訊息,https://stream1.freetv.fun/hao-xiao-xi-1.m3u8
好訊息,https://stream1.freetv.fun/hao-xiao-xi-2.m3u8
好訊息,https://stream1.freetv.fun/hao-xiao-xi-4.m3u8
佛陀,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8
佛陀,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
佛衛慈悲台,http://btsw-ott2b.cdn.hinet.net/live_bts/btsw01/chunklist.m3u8?fbclid=IwAR0tOOH5nMOCvkCFTXbHgyO6P95nuOS3MNCfYDflXYkqsUVGfApmPOLWeR0
孝廉,http://cdn257.ccdntech.com/live-http/_definst_/vod257_Live/live/playlist.m3u8
亞洲旅遊,https://stream1.freetv.fun/eb82250a3a363114586eddaf0775bd48ae7e26348676bd7753031166f118b826.m3u8
亞洲旅遊臺,https://stream1.freetv.fun/ya-zhou-lu-you-1.m3u8
亞洲旅遊臺,https://stream1.freetv.fun/ya-zhou-lu-you-2.m3u8
東森美洲,http://38.64.72.148/hls/modn/list/2015/chunklist0.m3u8
東森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
東森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
東森美洲,https://stream1.freetv.fun/0d00efefad804953ceb6895831171b42f1a54070a17986d57bb09384afbaf4e1.m3u8
東森美洲,https://stream1.freetv.fun/41fd1dc90b335e2c39f811e013a8bc45d966113d4b326afb8bed450591629da1.m3u8
東森美洲,https://stream1.freetv.fun/4f75b6abb8483c7acd3ce3b93a088cb93d1be9ec7c8bf4d9137f0f4c3a2076a6.m3u8
東森美洲,https://stream1.freetv.fun/8b92c1907147a3ce01a1808d6ad0301815d01b26d42246e19fdd3f9a2edd7625.m3u8
東森美洲,https://stream1.freetv.fun/d9a679454b6c0b5dad7d457df83d71fb9a68adec2c5f603770e94b88152c5d49.m3u8
東森美洲,https://stream1.freetv.fun/dong-sen-mei-zhou-2.m3u8
東森美洲,https://stream1.freetv.fun/dong-sen-mei-zhou-3.m3u8
東森美洲,https://stream1.freetv.fun/dong-sen-mei-zhou-4.m3u8
東森美洲,https://stream1.freetv.fun/dong-sen-mei-zhou-5.m3u8
東森美洲,https://stream1.freetv.fun/dong-sen-mei-zhou-6.m3u8
東森美洲中國,https://stream1.freetv.fun/0d9d053e113b9f4affb851bf56c0a2ed8755fab592272d0d922555abd74cee95.m3u8
東森美洲中國臺,https://stream1.freetv.fun/dong-sen-mei-zhou-zhong-guo-1.m3u8
東森美洲衛視,https://stream1.freetv.fun/568e26b29122e84e3527b97eca553332274777bdf39873fb234fb6581a3f6a59.m3u8
東森美洲衛視,https://stream1.freetv.fun/dong-sen-mei-zhou-wei-shi-1.m3u8
東森超視,https://stream1.freetv.fun/bab8065e884e2bdc304409c9cad21b27e7ecfe42e7c3476ffa0ef5a9165647bd.m3u8
東森超視,https://stream1.freetv.fun/d5ffbfe432a7d143ab09b683064d01db744bbf6371c0271eefbcb412a4985caf.m3u8
東森超視,https://stream1.freetv.fun/dong-sen-chao-shi-2.m3u8
東森超視,https://stream1.freetv.fun/dong-sen-chao-shi-34-5-1.m3u8
東森超視,https://stream1.freetv.fun/dong-sen-chao-shi-4.m3u8
東森超視,https://stream1.freetv.fun/dong-sen-chao-shi-6.m3u8
東森超視,https://stream1.freetv.fun/dong-sen-chao-shi-7.m3u8
東森超視,https://stream1.freetv.fun/dong-sen-chao-shi-9.m3u8
東森超視,rtmp://f13h.mine.nu/sat/tv331
東森超視,rtmp://f13h.mine.nu:1935/sat/tv331
東森超視34.5,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
東森超視34.5,https://stream1.freetv.fun/41abf308e03f0e00cf97633b2892d5477b3329bae64920ad101c87398baf61a6.m3u8
東森綜合,https://stream1.freetv.fun/dong-sen-zong-he-1.m3u8
東森綜合,https://stream1.freetv.fun/dong-sen-zong-he-2.m3u8
東森綜合,https://stream1.freetv.fun/dong-sen-zong-he-4.m3u8
客家電視,https://stream1.freetv.fun/ke-jia-dian-shi-2.m3u8
美亞C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
時尚台FTV4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
時尚頻道FTV,http://80.94.54.42/fashiontv/stream/playlist.m3u8
時尚頻道FTV,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
唯心電視,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8
唯心電視,https://stream1.freetv.fun/9d6584ec43c4b0d939a5a98345dddfbfd5708efcd7fc2ffa4228fa4fca553324.m3u8
唯心電視,https://stream1.freetv.fun/ad6bd642fb4b61086ff7103da03af372fc3995d06fc42bb9ed623ff586bc8ea7.m3u8
唯心電視,https://stream1.freetv.fun/d1cf8bade6ebe3a278d268eed58d4cded514c586b05b8de1d4ccfc5017754f74.m3u8
唯心電視,https://stream1.freetv.fun/e0de516e5f3d27316191a2f08953b9cc3fbc396694e2969a3401b2e07ea50e95.m3u8
唯心電視,https://stream1.freetv.fun/wei-xin-dian-shi-2.m3u8
唯心電視,https://stream1.freetv.fun/wei-xin-dian-shi-3.m3u8
唯心電視,https://stream1.freetv.fun/wei-xin-dian-shi-4.m3u8
唯心電視,https://stream1.freetv.fun/wei-xin-dian-shi-5.m3u8
國家地理悠人頻道(臺灣),https://stream1.freetv.fun/ahuei-taiwanplus-1.m3u8
國會頻道1,https://stream1.freetv.fun/guo-hui--1-4.m3u8
國會頻道2,https://stream1.freetv.fun/guo-hui--2-1.m3u8
華視,https://stream1.freetv.fun/2ef08642072574008f65939021951a59fe9fc71369c751393f40a1b2234e18c9.m3u8
華視,https://stream1.freetv.fun/hua-shi-2.m3u8
華視,rtmp://f13h.mine.nu/sat/tv111
華視HD,rtmp://f13h.mine.nu:1935/sat/tv111
靖天國際,https://stream1.freetv.fun/jing-tian-guo-ji-5.m3u8
靖天綜合,https://stream1.freetv.fun/jing-tian-zong-he-5.m3u8
臺灣番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
臺灣番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
緯來日本,https://stream1.freetv.fun/wei-lai-ri-ben-1.m3u8
緯來日本,https://stream1.freetv.fun/wei-lai-ri-ben-7.m3u8
緯來日本,rtmp://f13h.mine.nu:1935/sat/tv771
緯來育樂,https://stream1.freetv.fun/wei-lai-yu-le-3.m3u8
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來育樂,rtmp://f13h.mine.nu:1935/sat/tv701
緯來精采,http://61.221.215.25:8800/hls/48/index.m3u8
🎦電影戲劇,#genre#
25V0104版,
amc最愛電影,https://stream1.freetv.fun/364e21133ea43460bcc895be1f7ea000065de402ecc572f985178bd5a9bf51f7.m3u8
AMC電影,https://stream1.freetv.fun/amcdian-ying-2.m3u8
AMC電影,https://stream1.freetv.fun/amczui-ai-dian-ying-3.m3u8
AMC電影台,http://61.221.215.25:8800/hls/43/index.m3u8
CINEMAX(TW),https://stream1.freetv.fun/cinemax-2.m3u8
EYE TV戲劇,https://stream1.freetv.fun/eyetvxi-ju-1.m3u8
HBO Signature(TW),https://stream1.freetv.fun/hbo-signature-7.m3u8
HBO signature,https://stream1.freetv.fun/87506f962b90c1e6a534a2768eec4e2caa0b75d1453dedd5b28b87f812cd11c4.m3u8
HBO,http://220.134.196.147:9520/http/60.251.39.91:8081/hls/71/813/ch41.m3u8
HBO,http://220.134.196.147:9520/index.m3u8
hollywood,https://stream1.freetv.fun/cb974b3858e96b0f844f145346f9f301213096aabd05986c7da17f19c9035361.m3u8
Hollywood,https://stream1.freetv.fun/hollywood-2.m3u8
Hollywood,https://stream1.freetv.fun/hollywood-4.m3u8
Hollywood,https://stream1.freetv.fun/made-in-hollywood-2.m3u8
Hollywood,https://stream1.freetv.fun/young-hollywood-1.m3u8
Hollywood,https://stream1.freetv.fun/young-hollywood-3.m3u8
Now星影台,http://aktv.top/AKTV/live/aktv2/now/AKTV.m3u8
Now爆穀台,http://aktv.top/AKTV/live/aktv2/now-1/AKTV.m3u8
young hollywood,https://stream1.freetv.fun/2623573622b9232eff66b6394bddba85eeaa306d9d7a162d421932d259d06a6c.m3u8
八大戲劇,https://stream1.freetv.fun/c7f872f6da5871c2bf37d3829e4aed2fc681e8f29d9b0f5bda748557979171c0.m3u8
八大戲劇,https://stream1.freetv.fun/d29f5b90988c837bb8afc96017dd772aa68cb99981f807169cafc79cdf7ac12f.m3u8
八大戲劇,https://stream1.freetv.fun/decc2d4faebf04edfebbeffda83625e3e1d1e315706de1a33d76cc057ace2c4c.m3u8
八大第一,https://stream1.freetv.fun/0a69db542fb0ffb28f514894c0121fab614596f933505273a7d0443515e1bba1.m3u8
八大第一,https://stream1.freetv.fun/bfb696d22a4dbe907c274f06fe09a10fb575b95c99dc50cd2cf9ba3b1c8c5b5b.m3u8
八大戲劇HD,https://stream1.freetv.fun/ba-da-xi-ju-1.m3u8
八大戲劇HD,https://stream1.freetv.fun/ba-da-xi-ju-3.m3u8
八大戲劇HD,https://stream1.freetv.fun/ba-da-xi-ju-4.m3u8
八大戲劇HD,https://stream1.freetv.fun/ba-da-xi-ju-5.m3u8
三立戲劇,https://stream1.freetv.fun/38b16d6f182cd55b7a542696a148d850cf352ea7c01b6a76d452002644e34fbb.m3u8
三立都會,https://stream1.freetv.fun/4cf0405feb7da9c71ac8d099a8652a1d7eea3b3bc176256de75a3e4c13899e15.m3u8
三立戲劇,https://stream1.freetv.fun/san-li-xi-ju-1.m3u8
公視戲劇,https://stream1.freetv.fun/gong-shi-xi-ju-1.m3u8
東森電影,https://stream1.freetv.fun/7e7daf1aca2b5fc6ab5365c3d5201b91e3b538cd4a947fd5bdb0256900d3f638.m3u8
東森電影,https://stream1.freetv.fun/dd1d32b3282a4fa3877f09fdbd864b1aa0303bf5715eefb4ea8fff22db6fcadf.m3u8
龍華電影,https://stream1.freetv.fun/bb02041f583163ef2f0618ac53f1ed97f03c5ca37f16f0dcfd15bcd02630a4f0.m3u8
龍華洋片,https://stream1.freetv.fun/07af5ce9e0d331228189888717ee6d91f727f9bbc5720e912578119d64e346dd.m3u8
東森洋片,https://stream1.freetv.fun/dong-sen-yang-pian-1.m3u8
東森洋片,https://stream1.freetv.fun/dong-sen-yang-pian-4.m3u8
東森洋片,https://stream1.freetv.fun/dong-sen-yang-pian-5.m3u8
東森電影,https://stream1.freetv.fun/dong-sen-dian-ying-2.m3u8
東森電影,https://stream1.freetv.fun/dong-sen-dian-ying-4.m3u8
東森電影,https://stream1.freetv.fun/dong-sen-dian-ying-7.m3u8
東森電影,https://stream1.freetv.fun/dong-sen-dian-ying-8.m3u8
東森戲劇,https://stream1.freetv.fun/dong-sen-xi-ju-2.m3u8
經典電影,https://stream1.freetv.fun/1bafe4bd000021327a0885b59d65d78542ea6187d0ecb06939fb08daef7d1217.m3u8
經典電影,https://stream1.freetv.fun/7ef761783289fd2b6e5426e99aa3376480041b166ee31a68aa1a51f0dac105fa.m3u8
經典電影,https://stream1.freetv.fun/8f777a8c96c1e3cf49cb17a514c946d7a2404e5df69cf2584f1b7ff67e1b6cd9.m3u8
經典電影,https://stream1.freetv.fun/97df4373411c47f7f36ad2038590a95069d4bce63acd52e246c67b3aff64daee.m3u8
經典電影,https://stream1.freetv.fun/a8fb7adb8dbbc9bb8251b6dca1f06bde4a42896fc3c871353438d667450360b1.m3u8
經典電影,https://stream1.freetv.fun/d62485ca85db1dfdb86a298ffd73dde73d05c4c798def0bc8f55b73fbd931480.m3u8
經典電影,https://stream1.freetv.fun/e34e404fc0521bb6de2d8a021eac9525d0847af3468404ce2248a1cc04b1b839.m3u8
采昌影劇,https://stream1.freetv.fun/cai-chang-ying-ju-5.m3u8
美亞電影台[TW],https://stream1.freetv.fun/mei-ya-dian-ying-5.m3u8
美亞電影台[TW],https://stream1.freetv.fun/mei-ya-dian-ying-yue-1.m3u8
鬥魚電影5,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K.flv?wsAuth=5098901b40bc7b87b4eed18509f89245&token=cpn-androidmpro-0-20415-b6774b3b3249db178d68e54e4be54bf1ca391679b3fb2ffa&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
鬥魚電影8,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=99705a1921ddd49fb7079a02f02bedc4&token=cpn-androidmpro-0-20415-b6774b3b3249db17d8beee6676fdf877fe8b1576307ef8e6&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
愛爾達影劇臺,https://stream1.freetv.fun/ai-er-da-ying-ju-1.m3u8
愛爾達影劇臺,https://stream1.freetv.fun/ai-er-da-ying-ju-2.m3u8
經典電影臺,https://stream1.freetv.fun/jing-dian-dian-ying-1.m3u8
經典電影臺,https://stream1.freetv.fun/jing-dian-dian-ying-10.m3u8
經典電影臺,https://stream1.freetv.fun/jing-dian-dian-ying-11.m3u8
經典電影臺,https://stream1.freetv.fun/jing-dian-dian-ying-12.m3u8
經典電影臺,https://stream1.freetv.fun/jing-dian-dian-ying-13.m3u8
經典電影臺,https://stream1.freetv.fun/jing-dian-dian-ying-14.m3u8
經典電影臺,https://stream1.freetv.fun/jing-dian-dian-ying-15.m3u8
經典電影臺,https://stream1.freetv.fun/jing-dian-dian-ying-16.m3u8
